instance,arm,status,iterations,self_gap,recomputed_gap,time_s,tstt,certified,error
forge/ladder_grid5,tapb_B,ok,4,4.009348405e-06,4.009349944964891e-06,0.06,56290.87,True,
forge/ladder_grid5,task_TAPAS,ok,4,1.956772435e-07,1.956772819122136e-07,0.05,56290.82,True,
forge/ladder_grid5,task_LUCE,ok,16,8.168519235e-06,8.168585960099226e-06,0.08,56291.16,True,
forge/ladder_grid5,task_BFW,ok,47,9.65618093e-06,9.656274172725078e-06,0.07,56290.04,True,
forge/ladder_grid5,latent_ol1,ok,14,9.624604964477428e-06,9.628126169156291e-06,0.023,56290.46,True,
forge/ladder_grid10,tapb_B,ok,5,9.001491132e-06,9.00141844473448e-06,0.09,275335.92,True,
forge/ladder_grid10,task_TAPAS,ok,5,7.181405959e-06,7.181457533415155e-06,0.16,275338.85,True,
forge/ladder_grid10,task_LUCE,ok,322,9.459684817e-06,9.459774305790315e-06,0.84,275337.35,True,
forge/ladder_grid10,task_BFW,ok,274,8.453208166e-06,8.45327962495572e-06,0.2,275337.77,True,
forge/ladder_grid10,latent_ol1,ok,38,9.59554772703586e-06,9.60125900869293e-06,0.179,275336.25,True,
forge/ladder_grid20,tapb_B,ok,7,7.786363466e-06,7.786359979234274e-06,0.2,2963616.88,True,
forge/ladder_grid20,task_TAPAS,ok,6,2.706757811e-06,2.7067651381032004e-06,0.57,2963624.44,True,
forge/ladder_grid20,task_LUCE,ok,2523,9.983012222e-06,9.983111885451183e-06,100.14,2963622.3,True,
forge/ladder_grid20,task_BFW,ok,813,9.77779664e-06,9.777892246878044e-06,2.21,2963645.38,True,
forge/ladder_grid20,latent_ol1,ok,179,9.815766192283315e-06,9.815671672002222e-06,2.65,2963612.27,True,
forge/ladder_grid40,tapb_B,ok,12,5.261397469e-06,5.261407432352118e-06,4.17,45908811.82,True,
forge/ladder_grid40,task_TAPAS,ok,7,6.98538883e-06,6.985437620619737e-06,6.04,45908760.06,True,
forge/ladder_grid40,task_LUCE,ok,1512,0.0001674592237,0.00016748727102788695,601.22,45910447.7,True,
forge/ladder_grid40,task_BFW,ok,5414,9.498408344e-06,9.498498556848428e-06,79.91,45908837.6,True,
forge/ladder_grid40,latent_ol1,ok,2158,9.606601109772365e-06,9.60645153217994e-06,150.274,45908762.62,True,
forge/sts5x20_s1,tapb_B,ok,9,5.099960363e-06,5.100035908809418e-06,0.12,53472.46,True,
forge/sts5x20_s1,task_TAPAS,ok,,,-1.0,0.13,0.0,False,
forge/sts5x20_s1,task_LUCE,ok,,,-1.0,0.1,0.0,False,
forge/sts5x20_s1,task_BFW,ok,,,-1.0,0.12,0.0,False,
forge/sts5x20_s1,latent_ol1,ok,845,9.712098730863515e-06,9.66734362121771e-06,1.417,53472.76,True,
forge/sts8x30_s1,tapb_B,ok,10,3.282479071e-06,3.282507755620439e-06,0.18,139608.84,True,
forge/sts8x30_s1,task_TAPAS,ok,,,-1.0,0.29,0.0,False,
forge/sts8x30_s1,task_LUCE,ok,,,-1.0,0.27,0.0,False,
forge/sts8x30_s1,task_BFW,ok,,,-1.0,0.21,0.0,False,
forge/sts8x30_s1,latent_ol1,ok,740,9.895229710580653e-06,9.892123813405154e-06,5.556,139609.76,True,
sioux_falls,tapb_B,ok,7,7.02697448e-06,7.026974421122312e-06,0.05,7479457.47,True,
sioux_falls,task_TAPAS,ok,6,3.374470098e-06,3.3744814856724147e-06,0.09,7479818.19,True,
sioux_falls,task_LUCE,ok,33,9.549420188e-06,9.549511380437117e-06,0.09,7478767.53,True,
sioux_falls,task_BFW,ok,244,7.766484466e-06,7.766544785037088e-06,0.1,7477106.49,True,
sioux_falls,latent_ol1,ok,32,9.653829169767381e-06,9.653538023732078e-06,0.084,7478912.61,True,
chicago_sketch,tapb_B,ok,7,4.318925651e-06,4.318927478895785e-06,0.65,22303374.61,True,
chicago_sketch,task_TAPAS,ok,5,1.792727979e-07,1.7927283178308118e-07,8.18,22303553.14,True,
chicago_sketch,task_LUCE,ok,18,7.821192624e-06,7.821253781285007e-06,4.84,22303816.56,True,
chicago_sketch,task_BFW,ok,137,9.912686326e-06,9.912784588026798e-06,6.2,22303210.53,True,
chicago_sketch,latent_ol1,ok,16,7.62512040973713e-06,7.625476855813416e-06,14.623,22303317.74,True,
