arm,gap,obj,flow_err,bush_sweeps,oracle_calls,atoms,time_s
B0,9.558320333654819e-06,38873.81187840262,0.0,7,,,0.029
L1_J2,0.00046471422698359096,38879.36421901821,0.41941770740686984,12,0,2,0.16
L1_J4,0.00030126488966003215,38878.3427009914,0.38686034307276496,24,0,4,0.085
L1_J8,0.0002728885991103475,38877.063293300256,0.37855991290889895,48,0,8,0.132
L1_J16,0.0001598601011521182,38876.213084494884,0.32919981728880504,96,0,16,0.273
L2,6.715735911419941e-06,38873.81651223991,0.23481809162109643,16,2,2,0.052
