instance,arm,status,pool_paths,pool_gen_s,pool_gap,fullnet_gap,time_s,tstt,conservation_ok,engine,error
forge/ladder_grid5,colcpp_full,ok,398,0.005,9.13383079439e-06,7.992062276811913e-05,0.13,56291.88,True,,
forge/ladder_grid5,colcpp_latent,ok,398,0.007,7.5943922799e-06,7.816001725289564e-05,0.076,56291.61,True,,
forge/ladder_grid5,decomp_H0_R0_R1,ok,,,,,,,,colcpp_ta2g50kd cohorts=64 K=398 majors(R1)=3 latent_share=0.195978 rank=5 | H0=0.0007378s R0=0.002569s R1atom=0.0007832s R1svd=-1s | S_R=0.287193 S_C|R_atom=3.28013 S_RC_atom=0.942033 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=3.94431e-06 oe_R1atom=3.89202e-06 oe_R1svd=-1 | gap_H0=9.67459e-06 gap_R1atom=7.59439e-06 gap_R1svd=-1,
forge/ladder_grid10,colcpp_full,ok,1690,0.037,9.51442492634e-06,0.0014429785087151383,0.316,275513.82,True,,
forge/ladder_grid10,colcpp_latent,ok,1690,0.031,7.86762864058e-06,0.0014377450434959783,0.292,275511.95,True,,
forge/ladder_grid10,decomp_H0_R0_R1,ok,,,,,,,,colcpp_swjzyx21 cohorts=64 K=1690 majors(R1)=17 latent_share=0.21759 rank=5 | H0=0.0327883s R0=0.0213286s R1atom=0.0056418s R1svd=-1s | S_R=1.53729 S_C|R_atom=3.78046 S_RC_atom=5.81167 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=1.97155e-06 oe_R1atom=2.30845e-06 oe_R1svd=-1 | gap_H0=9.99507e-06 gap_R1atom=7.86763e-06 gap_R1svd=-1,
forge/ladder_grid20,colcpp_full,ok,1765,0.086,9.95956510624e-06,0.0023183712066631103,5.491,2968587.11,True,,
forge/ladder_grid20,colcpp_latent,ok,1765,0.09,8.26050320033e-06,0.0023098485022568067,4.244,2968568.46,True,,
forge/ladder_grid20,decomp_H0_R0_R1,ok,,,,,,,,lab_colcpp_3yixjvbb cohorts=64 K=1765 majors(R1)=42 latent_share=0.236481 rank=5 | H0=0.274802s R0=0.086927s R1atom=0.0631318s R1svd=-1s | S_R=3.1613 S_C|R_atom=1.37691 S_RC_atom=4.35283 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=1.1266e-06 oe_R1atom=2.33335e-06 oe_R1svd=-1 | gap_H0=9.99589e-06 gap_R1atom=8.2605e-06 gap_R1svd=-1,
forge/ladder_grid40,colcpp_full,ok,1808,0.321,9.80208475487e-06,0.005510991189227629,83.012,46050480.76,True,,
forge/ladder_grid40,colcpp_latent,ok,1808,0.542,9.74352673797e-06,0.005488977199505655,69.748,46050299.16,True,,
forge/ladder_grid40,decomp_H0_R0_R1,ok,,,,,,,,lab_colcpp_ui5o5ul0 cohorts=64 K=1808 majors(R1)=92 latent_share=0.178812 rank=5 | H0=2.90956s R0=1.25961s R1atom=1.82885s R1svd=-1s | S_R=2.30989 S_C|R_atom=0.688743 S_RC_atom=1.59092 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=3.83828e-07 oe_R1atom=1.55384e-06 oe_R1svd=-1 | gap_H0=9.68367e-06 gap_R1atom=9.74353e-06 gap_R1svd=-1,
forge/sts5x20_s1,colcpp_full,ok,32,0.009,9.5700421301e-06,0.00035350537168373137,0.289,53485.05,True,,
forge/sts5x20_s1,colcpp_latent,ok,32,0.022,9.93735096577e-06,0.0003512596950122447,0.429,53485.06,True,,
forge/sts5x20_s1,decomp_H0_R0_R1,ok,,,,,,,,cpp_bgp2w15q cohorts=1 K=32 majors(R1)=20 latent_share=0.23365 rank=5 | H0=7.72e-05s R0=0.0027016s R1atom=0.166433s R1svd=-1s | S_R=0.0285757 S_C|R_atom=0.0162323 S_RC_atom=0.000463849 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=1.39847e-08 oe_R1atom=1.32433e-09 oe_R1svd=-1 | gap_H0=2.77757e-06 gap_R1atom=9.93735e-06 gap_R1svd=-1,
forge/sts8x30_s1,colcpp_full,ok,32,0.051,9.90756444549e-06,0.0007315014020696871,0.8,139708.91,True,,
forge/sts8x30_s1,colcpp_latent,ok,32,0.088,9.88602819109e-06,0.000731508237834377,0.866,139708.92,True,,
forge/sts8x30_s1,decomp_H0_R0_R1,ok,,,,,,,,cpp_sidfaeeo cohorts=1 K=32 majors(R1)=22 latent_share=0.233333 rank=5 | H0=8.03e-05s R0=0.0235631s R1atom=0.219822s R1svd=-1s | S_R=0.00340787 S_C|R_atom=0.107192 S_RC_atom=0.000365296 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=1.62117e-08 oe_R1atom=4.38308e-09 oe_R1svd=-1 | gap_H0=8.4452e-13 gap_R1atom=9.88603e-06 gap_R1svd=-1,
sioux_falls,colcpp_full,ok,2452,0.016,9.66280667192e-06,0.003614374464046834,0.561,7577627.01,True,,
sioux_falls,colcpp_latent,ok,2452,0.016,9.04575824054e-06,0.003615294846272463,0.536,7578796.49,True,,
sioux_falls,decomp_H0_R0_R1,ok,,,,,,,,cpp_7u0v2xt4 cohorts=528 K=2452 majors(R1)=18 latent_share=0.100891 rank=5 | H0=0.0230273s R0=0.0314716s R1atom=0.0074251s R1svd=-1s | S_R=0.731685 S_C|R_atom=4.23854 S_RC_atom=3.10128 S_C|R_svd=-1 S_RC_svd=-1 | oe_R0=1.80408e-09 oe_R1atom=2.09686e-07 oe_R1svd=-1 | gap_H0=9.85092e-06 gap_R1atom=9.04576e-06 gap_R1svd=-1,
chicago_sketch,colcpp_full,failed,,,,,,,,,"Command '['C:\\source_codes\\1_new_source_code\\TAPLab\\bin\\column_solver.exe', 'C:\\Users\\xzhou\\AppData\\Local\\Temp"
chicago_sketch,colcpp_latent,failed,,,,,,,,,"Command '['C:\\source_codes\\1_new_source_code\\TAPLab\\bin\\column_solver.exe', 'C:\\Users\\xzhou\\AppData\\Local\\Temp"
chicago_sketch,decomp_H0_R0_R1,failed,,,,,,,,,"Command '['C:\\source_codes\\1_new_source_code\\TAPLab\\bin\\column_solver.exe', 'C:\\Users\\xzhou\\AppData\\Local\\Temp"
